Flight,Depart time,Arrival time,Journey duration,Price
"Air India
AI-835/AI-632",16:20,19:05,26h 45m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['6,911', '7,493', '7,545', '']}"
"IndiGo
6E-2331/6E-5139",12:00,18:25,6h 25m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['6,951', '7,533', '7,600', '']}"
"Vistara
UK-951",14:20,16:25,2h 05m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,057', '7,639', '8,054']}"
"Vistara
UK-933",15:30,17:35,2h 05m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,057', '7,639', '8,054']}"
"Vistara
UK-975",05:50,08:00,2h 10m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,057', '7,639', '8,054']}"
"Vistara
UK-963",08:55,11:10,2h 15m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,057', '7,639', '8,054']}"
"IndiGo
6E-6112/6E-5187",05:55,11:10,5h 15m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['7,057', '7,639', '8,023', '']}"
"Air India
AI-887",07:00,09:15,2h 15m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['7,267', '7,849', '8,369']}"
"IndiGo
6E-129/6E-649",13:25,20:50,7h 25m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['7,293', '7,875', '8,039', '']}"
"Air India
AI-819/AI-670",18:35,11:40,17h 05m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['7,297', '7,879', '8,140', '']}"
"IndiGo
6E-2009",12:30,14:40,2h 10m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['7,318', '7,712', '7,900', '']}"
"Air India
AI-469/AI-644",13:00,18:05,5h 05m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['7,347', '7,929', '8,401', '']}"
"IndiGo
6E-2172/6E-5083",15:05,23:20,8h 15m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['7,372', '7,954', '8,652', '']}"
"Air India
AI-553/AI-616",02:30,09:55,7h 25m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['7,586', '8,168', '8,479', '']}"
"Air India
AI-553/AI-618",02:30,14:50,12h 20m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['7,586', '8,168', '8,479', '']}"
"Air India
AI-553/AI-698",02:30,23:55,21h 25m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['7,586', '8,168', '8,479', '']}"
"Multiple Airline
I5-738/IX-2784",12:55,22:50,9h 55m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['7,625', '8,207']}"
"IndiGo
6E-6022",15:15,17:20,2h 05m,"{'Offer': ['Saver Fare', 'Flexi Plus', 'Best Value', ''], 'Price': ['7,633', '8,158', '8,215', '']}"
"Vistara
UK-879/UK-876",17:35,23:10,5h 35m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-899/UK-876",14:45,23:10,8h 25m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-879/UK-872",17:35,07:50,14h 15m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-879/UK-874",17:35,10:05,16h 30m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-899/UK-872",14:45,07:50,17h 05m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-871/UK-878",20:55,15:05,18h 10m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-899/UK-874",14:45,10:05,19h 20m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-879/UK-878",17:35,15:05,21h 30m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"Vistara
UK-899/UK-878",14:45,15:05,24h 20m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['7,695', '8,277', '62,150']}"
"IndiGo
6E-5017/6E-5083",19:30,23:20,3h 50m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['7,721', '8,303', '9,740', '']}"
"Air India
AI-553/AI-652",02:30,18:35,16h 05m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['7,886', '8,468', '8,784', '']}"
"Vistara
UK-927",09:30,11:40,2h 10m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,897', '8,479', '8,894']}"
"Vistara
UK-993",12:50,15:00,2h 10m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,897', '8,479', '8,894']}"
"Vistara
UK-955",17:50,20:00,2h 10m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,897', '8,479', '8,894']}"
"Vistara
UK-985",19:45,22:00,2h 15m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['7,897', '8,479', '8,894']}"
"IndiGo
6E-2208/6E-6598",20:40,00:20,3h 40m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['8,022', '8,604', '8,652', '']}"
"IndiGo
6E-2376/6E-6598",17:40,00:20,6h 40m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['8,022', '8,604', '8,652', '']}"
"Air India
AI-435/AI-634",05:55,14:10,8h 15m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['8,032', '8,614', '9,085', '']}"
"Multiple Airline
IX-1711/I5-338",05:30,17:20,11h 50m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['8,106', '8,688']}"
"Air India
AI-433/AI-634",14:45,14:10,23h 25m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['8,242', '8,824', '9,295', '']}"
"IndiGo
6E-5016/6E-5184",09:20,15:55,6h 35m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['8,317', '8,899', '9,115', '']}"
"Vistara
UK-899/UK-534",14:45,19:35,4h 50m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Standard', ''], 'Price': ['8,325', '8,907', '9,270', '']}"
"Air India
AI-544/AI-698",17:00,23:55,6h 55m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['8,329', '8,911', '9,225', '']}"
"Air India
AI-839/AI-616",21:50,09:55,12h 05m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['8,329', '8,911', '9,225', '']}"
"Air India
AI-839/AI-618",21:50,14:50,17h 00m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['8,329', '8,911', '9,225', '']}"
"Air India
AI-544/AI-618",17:00,14:50,21h 50m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['8,329', '8,911', '9,225', '']}"
"Air India
AI-417/AI-698",14:45,23:55,9h 10m,"{'Offer': ['Comfort', 'Best Value', 'Comfort Plus', ''], 'Price': ['8,830', '9,412', '9,724', '']}"
"Vistara
UK-981",21:30,23:40,2h 10m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['9,157', '9,739', '10,154']}"
"Vistara
UK-943",07:30,09:45,2h 15m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['9,157', '9,739', '10,154']}"
"Vistara
UK-995",10:20,12:35,2h 15m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['9,157', '9,739', '10,154']}"
"Vistara
UK-941",16:50,19:05,2h 15m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['9,157', '9,739', '10,154']}"
"Vistara
UK-977",19:00,21:15,2h 15m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['9,157', '9,739', '10,154']}"
"Vistara
UK-957",20:40,23:05,2h 25m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['9,157', '9,739', '10,154']}"
"Vistara
UK-673/UK-622",13:20,18:30,5h 10m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['9,885', '10,467', '61,037']}"
"IndiGo
6E-2376/6E-552",17:40,22:10,4h 30m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['10,083', '10,665', '11,238', '']}"
"IndiGo
6E-5074/6E-2389",09:10,17:15,8h 05m,"{'Offer': ['Saver Fare', 'Best Value', 'Flexi Plus', ''], 'Price': ['10,293', '10,875', '11,448', '']}"
"AirIndia Express
I5-768/I5-334",14:50,21:45,6h 55m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['10,613', '11,195']}"
"Multiple Airline
IX-769/I5-334",14:00,21:45,7h 45m,"{'Offer': ['Xpress Value', 'Best Value'], 'Price': ['10,613', '11,195']}"
"Vistara
UK-999",21:55,00:15,2h 20m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['10,732', '11,314', '11,729']}"
"Vistara
UK-817/UK-840",16:05,23:20,7h 15m,"{'Offer': ['Eco Lite', 'Best Value', 'Eco Flexi'], 'Price': ['11,526', '12,108', '73,795']}"
